year,party,tweet_count,median_rt
2008,Democrat,12,0.0
2008,Republican,95,0.0
2009,Democrat,1761,0.0
2009,Republican,3756,0.0
2010,Democrat,2628,0.0
2010,Republican,6714,0.0
2011,Democrat,7265,1.0
2011,Republican,19091,1.0
2012,Democrat,14044,2.0
2012,Republican,21608,1.0
2013,Democrat,32563,2.0
2013,Republican,62178,2.0
2014,Democrat,46953,3.0
2014,Republican,85049,3.0
2015,Democrat,81916,3.0
2015,Republican,118312,3.0
2016,Democrat,122759,5.0
2016,Republican,131123,3.0
2017,Democrat,95348,19.0
2017,Republican,71342,4.0
